Area,PIB par habitant,Population totale,Taux d'urbanisation,Taux de chômage,Taux d'inflation,Part des énergies renouvelables,Taux de mortalité infantile,Taux d'électrification
armenia,4041.99507105058,2851923.0,63.103,12.968,0.969553268816138,12.6,11.7,99.7
aruba,29329.0817465959,105439.0,43.293,,-1.02828178762012,6.8,,100.0
australia,53954.553494614,24592588.0,85.904,5.592,1.94864740944527,9.9,3.2,100.0
austria,47429.1584564387,8797566.0,58.094,5.561,2.08126911385587,34.0,3.0,100.0
azerbaijan,4147.1981423222,9854033.0,55.343,5.0,12.9359184187335,1.9,20.6,100.0
"bahamas, the",30666.8838654704,399020.0,82.925,9.8,1.51820700736147,1.1,11.8,100.0
bahrain,24315.4975906804,1456834.0,89.186,1.196,1.38671830576406,0.0,6.2,100.0
bangladesh,1815.47222007199,161793964.0,35.858,4.372,5.70207015717239,28.1,28.9,88.0
barbados,17910.7830952014,279187.0,31.159,8.622,4.66018463955996,4.3,11.7,100.0
belarus,5785.53397723676,9458989.0,78.134,5.648,6.03183725177793,7.3,2.7,98.7
belgium,44198.4823908691,11375158.0,97.961,7.086,2.12597086002607,9.7,3.3,100.0
belize,6049.3919477765,374693.0,45.601,6.596,1.14765339305816,37.2,12.2,94.2
benin,1095.27445827386,11596779.0,46.768,1.722,0.0432648555103608,45.4,60.5,34.5
bermuda,111820.581466347,63873.0,100.0,,,0.6,,100.0
bhutan,3427.17384540098,756121.0,40.167,3.039,4.95508366985129,79.7,23.6,97.7
bolivia,3280.0082139387,11435533.0,69.08,3.655,2.8227580554717,14.3,23.6,91.8
bosnia and herzegovina,5327.39230422044,3440027.0,47.876,20.527,,18.5,5.5,100.0
botswana,6705.34084567283,2401840.0,68.7,19.678,3.30828076768219,26.7,35.4,67.4
brazil,9896.71889500528,208504960.0,86.309,12.792,3.44637335032669,45.3,13.7,99.8
british virgin islands,,30060.0,47.337,,,1.1,13.1,100.0
brunei darussalam,28186.9867351423,430276.0,77.312,9.316,-1.2605056462896,0.0,8.6,100.0
bulgaria,8381.88134621669,7075947.0,74.669,6.164,2.06159619443141,17.1,6.1,98.1
burkina faso,711.184543433623,19835858.0,28.743,4.66,1.48299897161325,74.6,56.5,17.0
burundi,244.14542219677,11155593.0,12.706,1.258,16.0525353030392,88.2,42.5,9.3
cabo verde,3534.34357478817,564954.0,65.261,12.24,0.784415251101334,21.8,13.7,88.6
cambodia,1400.89926522987,15830689.0,22.98,0.141,2.91263557371478,56.3,24.7,89.1
cameroon,1479.86222292144,24393181.0,55.777,3.581,0.64040914988195,79.2,54.3,60.9
canada,45129.628116623,36545075.0,81.35,6.426,1.59688412852977,22.8,4.6,100.0
cayman islands,81255.1122691866,63581.0,100.0,,,0.0,,100.0
central african republic,414.74032227842,4996741.0,40.98,5.969,4.18072331871267,91.6,81.2,14.1
chad,662.897472963315,15085884.0,22.858,1.116,-1.53709962980849,72.8,72.4,10.9
channel islands,54904.0996682551,165215.0,30.914,6.865,,,,100.0
chile,15034.0584350711,18368577.0,87.49,7.29,2.18271846868519,24.1,6.6,99.7
china,8817.04560829162,1396215000.0,57.96,4.47,1.59313600071436,13.1,7.0,100.0
colombia,6449.97098770131,48351671.0,80.446,9.086,4.31431325695011,32.2,12.6,98.5
comoros,1414.58668992431,761664.0,28.784,5.04,,59.5,44.3,78.7
"congo, dem. rep.",451.089088517319,84283273.0,43.88,4.637,,96.7,69.1,18.0
"congo, rep.",2227.7326089376,5312340.0,66.459,20.887,0.450063823285546,69.8,35.7,46.2
costa rica,12118.1336248174,4993842.0,78.56,7.729,1.62590692991732,33.3,7.5,99.6
cote d'ivoire,2113.34152379369,24848016.0,50.326,3.273,0.685881065304603,62.5,60.0,65.6
