Area,Production_Viande de Volailles,Importations - Quantité_Viande de Volailles,Variation de stock_Viande de Volailles,Disponibilité intérieure_Viande de Volailles,Résidus_Viande de Volailles,Nourriture_Viande de Volailles,Disponibilité alimentaire en quantité (kg/personne/an)_Viande de Volailles,Disponibilité alimentaire (Kcal/personne/jour)_Viande de Volailles,Disponibilité de protéines en quantité (g/personne/jour)_Viande de Volailles,Disponibilité de matière grasse en quantité (g/personne/jour)_Viande de Volailles,Exportations - Quantité_Viande de Volailles
hongrie,493.0,58.0,74.0,266.0,-13.0,246.0,25.27,104.0,9.8,6.93,210.0
inde,3545.0,0.0,-119.0,3661.0,0.0,2965.0,2.22,7.0,0.75,0.47,4.0
indonésie,2301.0,1.0,-21.0,2323.0,,1904.0,7.19,25.0,2.42,1.61,0.0
iran (république islamique d'),2174.0,6.0,-86.0,2220.0,-0.0,2220.0,27.52,96.0,9.8,5.99,45.0
iraq,96.0,470.0,-0.0,566.0,0.0,561.0,14.95,52.0,5.37,3.23,0.0
irlande,110.0,99.0,-12.0,128.0,-11.0,123.0,25.82,100.0,11.6,5.66,93.0
islande,10.0,2.0,1.0,10.0,0.0,10.0,29.95,104.0,12.33,5.7,0.0
israël,629.0,0.0,-10.0,636.0,0.0,556.0,67.39,234.0,27.87,12.83,3.0
italie,1315.0,97.0,56.0,1173.0,0.0,1146.0,18.88,65.0,7.83,3.48,183.0
jamaïque,128.0,31.0,7.0,152.0,-0.0,149.0,51.1,178.0,15.71,12.18,1.0
japon,2215.0,1069.0,859.0,2415.0,0.0,2359.0,18.5,67.0,7.24,3.95,10.0
jordanie,210.0,64.0,-10.0,275.0,0.0,275.0,28.07,98.0,10.1,6.04,10.0
kazakhstan,171.0,174.0,8.0,331.0,-2.0,330.0,18.27,61.0,6.18,3.86,6.0
kenya,35.0,0.0,-0.0,35.0,0.0,34.0,0.67,2.0,0.23,0.14,0.0
kirghizistan,7.0,25.0,-1.0,32.0,0.0,19.0,3.1,11.0,1.08,0.73,0.0
kiribati,1.0,1.0,0.0,2.0,0.0,2.0,17.98,63.0,6.65,3.81,
koweït,56.0,137.0,0.0,189.0,-0.0,188.0,46.25,156.0,15.87,9.79,4.0
lesotho,2.0,15.0,1.0,17.0,0.0,17.0,7.93,27.0,2.72,1.71,0.0
lettonie,33.0,43.0,16.0,41.0,0.0,41.0,20.89,72.0,7.22,4.53,20.0
liban,64.0,13.0,0.0,73.0,-0.0,73.0,10.74,38.0,3.9,2.33,4.0
libéria,15.0,48.0,12.0,50.0,0.0,50.0,10.67,36.0,3.74,2.25,0.0
lituanie,118.0,44.0,12.0,82.0,-0.0,80.0,28.19,96.0,9.74,6.03,68.0
luxembourg,0.0,11.0,0.0,11.0,0.0,11.0,18.33,69.0,7.19,4.28,1.0
macédoine du nord,2.0,40.0,-0.0,41.0,0.0,41.0,19.73,68.0,7.01,4.17,1.0
madagascar,81.0,0.0,-0.0,82.0,0.0,73.0,2.87,14.0,0.97,1.13,
malaisie,1724.0,68.0,128.0,1621.0,-1.0,1220.0,39.21,142.0,12.95,9.65,44.0
malawi,130.0,0.0,33.0,98.0,0.0,91.0,5.17,17.0,1.74,1.09,
maldives,,12.0,0.0,12.0,0.0,7.0,13.5,47.0,4.7,2.94,
mali,48.0,1.0,-4.0,52.0,0.0,52.0,2.83,9.0,0.96,0.6,
malte,4.0,9.0,-1.0,14.0,0.0,12.0,27.17,103.0,12.68,5.41,0.0
maroc,762.0,3.0,17.0,746.0,-0.0,746.0,20.96,70.0,7.29,4.35,1.0
maurice,48.0,2.0,0.0,49.0,-0.0,48.0,37.93,128.0,13.06,8.05,0.0
mauritanie,5.0,24.0,6.0,22.0,0.0,22.0,5.14,11.0,1.59,0.51,
mexique,3249.0,972.0,-6.0,4219.0,,4058.0,32.52,123.0,9.26,9.27,9.0
mongolie,0.0,10.0,1.0,9.0,0.0,9.0,2.77,9.0,0.95,0.59,
monténégro,4.0,8.0,1.0,10.0,0.0,10.0,15.98,55.0,5.79,3.37,0.0
mozambique,92.0,24.0,-1.0,116.0,0.0,103.0,3.59,13.0,1.2,0.82,
myanmar,1662.0,3.0,-1.0,1666.0,0.0,1621.0,30.37,116.0,9.93,8.11,0.0
namibie,11.0,29.0,0.0,28.0,-0.0,28.0,11.53,40.0,4.25,2.38,12.0
nicaragua,143.0,6.0,11.0,138.0,0.0,138.0,21.59,93.0,6.91,7.08,0.0
niger,19.0,3.0,-0.0,21.0,0.0,20.0,0.94,3.0,0.32,0.2,0.0
nigéria,201.0,0.0,-0.0,202.0,0.0,192.0,1.01,2.0,0.31,0.1,0.0
norvège,101.0,2.0,1.0,102.0,0.0,101.0,19.05,66.0,7.81,3.61,0.0
nouvelle-calédonie,1.0,9.0,-1.0,11.0,0.0,11.0,38.71,136.0,14.05,8.42,
nouvelle-zélande,223.0,1.0,32.0,168.0,-6.0,164.0,34.79,140.0,12.02,9.77,23.0
népal,58.0,0.0,-0.0,58.0,0.0,55.0,1.99,7.0,0.67,0.42,
oman,7.0,126.0,2.0,114.0,-0.0,101.0,21.63,73.0,7.38,4.58,16.0
ouganda,65.0,0.0,-0.0,66.0,0.0,62.0,1.52,5.0,0.51,0.32,0.0
ouzbékistan,,,,,,,1.96,6.0,0.63,0.4,
pakistan,1281.0,2.0,-3.0,1282.0,-0.0,1218.0,5.86,20.0,1.97,1.25,4.0
panama,198.0,20.0,25.0,192.0,-0.0,139.0,33.82,117.0,10.34,8.02,0.0
paraguay,45.0,1.0,-0.0,41.0,0.0,41.0,5.99,22.0,1.8,1.61,4.0
pays-bas,1100.0,608.0,-82.0,372.0,-78.0,346.0,20.33,70.0,8.48,3.74,1418.0
philippines,1272.0,249.0,-3.0,1521.0,0.0,1459.0,13.87,48.0,4.65,3.11,2.0
